calibration_budget,e3g_participant_macro_log1p_mae,fold,lh_participant_macro_log1p_mae,model_name,overall_normalized_score,participants,pdg_participant_macro_log1p_mae,track
0,0.5389859552646041,0,0.5304947547279324,catboost,0.7682801257540334,4,0.6910581906299857,cold_start_participant_independent
0,0.43911190297794844,1,0.3769174856742912,catboost,0.6199602699135814,4,0.7425185079051421,cold_start_participant_independent
0,0.4079817480795028,2,0.4248524777155932,catboost,0.63658515212971,4,0.7512959631990662,cold_start_participant_independent
0,0.3872027050155038,3,0.41694333884804174,catboost,0.5846315991804749,4,0.6598041982038916,cold_start_participant_independent
0,0.425628169300397,4,0.5141666103452803,catboost,0.6486992328528471,4,0.563588798241467,cold_start_participant_independent
0,0.5509350950682471,0,0.5319389626224217,joint_bayes_personalizer,0.7853748462103255,4,0.7279957286445395,cold_start_participant_independent
0,0.40493228819645455,1,0.38387472465190625,joint_bayes_personalizer,0.6001359478457444,4,0.7189461989131831,cold_start_participant_independent
0,0.39376310610525567,2,0.41430280824786453,joint_bayes_personalizer,0.6115609799070857,4,0.7063658162831881,cold_start_participant_independent
0,0.4079907092763367,3,0.413736075743665,joint_bayes_personalizer,0.5829806354124559,4,0.6197579828604965,cold_start_participant_independent
0,0.39877929820880326,4,0.49475449043019926,joint_bayes_personalizer,0.6331435175346778,4,0.5997069287226717,cold_start_participant_independent
0,0.5509350950682471,0,0.5319389626224217,population_median,0.7853748462103255,4,0.7279957286445395,cold_start_participant_independent
0,0.40409213910836006,1,0.38387472465190625,population_median,0.5996160880343839,4,0.7185705317674496,cold_start_participant_independent
0,0.39376310610525567,2,0.4130422619675463,population_median,0.6049853072777754,4,0.6847365627911242,cold_start_participant_independent
0,0.4079907092763367,3,0.413736075743665,population_median,0.5821694061494536,4,0.6166044580367555,cold_start_participant_independent
0,0.39877929820880326,4,0.45451352128898553,population_median,0.6104872684320494,4,0.5997069287226717,cold_start_participant_independent
0,0.6137891409698242,0,0.6184814956080485,wearable_ridge,0.9220507639829338,4,0.9319327009959608,cold_start_participant_independent
0,0.5233076910810085,1,0.5850790473472117,wearable_ridge,0.7860418621795874,4,0.7997657343861313,cold_start_participant_independent
0,0.5561482298442567,2,0.5002830290046809,wearable_ridge,0.7933279442993056,4,0.9058728236947919,cold_start_participant_independent
0,0.6087827523191461,3,0.6123184010046236,wearable_ridge,0.8848452230985532,4,0.9933171806235706,cold_start_participant_independent
0,0.4195097345714715,4,0.6102594938553344,wearable_ridge,0.7348867880793167,4,0.7035294317735877,cold_start_participant_independent
